"Time (ns)","RMSD (Å)"
12.59,2.10824
12.6,2.20681
12.61,2.14173
12.62,2.10135
12.63,2.1341
12.64,2.14251
12.65,2.19151
12.66,2.1458
12.67,2.08686
12.68,2.08014
12.69,2.11441
12.7,2.10844
12.71,2.07853
12.72,2.08781
12.73,2.07955
12.74,2.15604
12.75,2.16023
12.76,2.13857
12.77,2.13383
12.78,2.186
12.79,2.13023
12.8,2.10864
12.81,2.0968
12.82,2.12941
12.83,2.09651
12.84,2.10498
12.85,2.0684
12.86,2.09278
12.87,2.05074
12.88,2.06285
12.89,2.04818
12.9,2.08234
12.91,2.07047
12.92,2.08181
12.93,2.05673
12.94,2.14215
12.95,2.08098
12.96,2.02535
12.97,2.04508
12.98,2.03222
12.99,2.15914
13,2.05854
13.01,2.08001
13.02,2.12305
13.03,2.10775
13.04,2.05631
13.05,2.04637
13.06,2.12293
13.07,2.10472
13.08,2.07256
13.09,2.17515
13.1,1.98899
13.11,1.97242
13.12,2.04819
13.13,2.06354
13.14,2.07032
13.15,2.05098
13.16,2.08101
13.17,2.04873
13.18,1.9745
13.19,2.00267
13.2,2.09686
13.21,2.06134
13.22,2.02289
13.23,2.04799
13.24,2.10059
13.25,2.07832
13.26,2.06349
13.27,2.15939
13.28,2.1332
13.29,2.1265
13.3,2.09467
13.31,2.17909
13.32,2.09887
13.33,2.1879
13.34,2.16028
13.35,2.21353
13.36,2.15225
13.37,2.19233
13.38,2.08934
13.39,2.12746
13.4,2.04318
13.41,2.13912
13.42,2.08891
13.43,2.08681
13.44,2.10153
13.45,2.16537
13.46,2.14972
13.47,2.15845
13.48,2.12212
13.49,2.22038
13.5,2.20789
13.51,2.19365
13.52,2.1162
13.53,2.1068
13.54,2.17208
13.55,2.11073
13.56,2.13807
13.57,2.13681
13.58,2.18169
13.59,2.15561
13.6,2.15799
13.61,2.20459
13.62,2.12163
13.63,2.08292
13.64,2.12999
13.65,2.06767
13.66,2.09111
13.67,2.04453
13.68,2.03261
13.69,2.09721
13.7,2.08921
13.71,2.10326
13.72,2.05031
13.73,2.00284
13.74,2.07419
13.75,2.0998
13.76,2.0272
13.77,2.1003
13.78,2.07797
13.79,2.09669
13.8,2.12991
13.81,2.13377
13.82,2.08101
13.83,2.06955
13.84,2.0811
13.85,2.05979
13.86,2.0759
13.87,2.04227
13.88,2.08433
13.89,2.05538
13.9,2.0706
13.91,2.13601
13.92,2.14945
13.93,2.17151
13.94,2.15683
13.95,2.19756
13.96,2.20064
13.97,2.16103
13.98,2.14867
13.99,2.15888
14,2.11682
14.01,2.03829
14.02,2.07044
14.03,2.03365
14.04,1.99711
14.05,2.06885
14.06,2.14139
14.07,2.14317
14.08,2.12277
14.09,2.10459
14.1,2.10221
14.11,2.09668
14.12,2.16322
14.13,2.05129
14.14,2.12114
14.15,2.14255
14.16,2.12156
14.17,2.12292
14.18,2.12536
14.19,2.17516
14.2,2.12415
14.21,2.1108
14.22,2.0596
14.23,2.14565
14.24,2.09949
14.25,2.13624
14.26,2.2047
14.27,2.1185
14.28,2.10455
14.29,2.14698
14.3,2.10313
14.31,2.11471
14.32,2.18097
14.33,2.12151
14.34,2.147
14.35,2.09952
14.36,2.16494
14.37,2.07583
14.38,2.09727
14.39,2.10591
14.4,2.04939
14.41,2.04963
14.42,2.09474
14.43,2.12332
14.44,2.03612
14.45,2.0915
14.46,2.12898
14.47,2.06189
14.48,2.16435
14.49,2.18218
14.5,2.14795
14.51,2.16906
14.52,2.10717
14.53,2.20501
14.54,2.21787
14.55,2.19948
14.56,2.2009
14.57,2.09313
14.58,2.08987
14.59,2.1926
14.6,2.21169
14.61,2.15829
14.62,2.19095
14.63,2.16349
14.64,2.15198
14.65,2.16258
14.66,2.22409
14.67,2.14107
14.68,2.13666
14.69,2.13272
14.7,2.07923
14.71,2.10382
14.72,2.1307
14.73,2.05999
14.74,2.09631
14.75,2.12188
14.76,2.15298
14.77,2.10918
14.78,2.12871
14.79,2.04934
14.8,2.1333
14.81,2.04836
14.82,2.07619
14.83,2.12224
14.84,2.13002
14.85,2.20022
14.86,2.12301
14.87,2.21698
14.88,2.1632
14.89,2.14663
14.9,2.19928
14.91,2.14452
14.92,2.09392
14.93,2.10051
14.94,2.16046
14.95,2.24274
14.96,2.18165
14.97,2.13831
14.98,2.08888
14.99,2.1881
15,2.1185
15.01,2.19506
15.02,2.19443
15.03,2.14736
15.04,2.17348
15.05,2.1831
15.06,2.09221
15.07,2.1454
15.08,2.05903
15.09,2.09541
15.1,2.1952
15.11,2.19304
15.12,2.21446
15.13,2.23102
15.14,2.2946
15.15,2.15592
15.16,2.27765
15.17,2.24514
15.18,2.21383
15.19,2.20639
15.2,2.2286
15.21,2.27166
15.22,2.27599
15.23,2.18511
15.24,2.24527
15.25,2.26856
15.26,2.22885
15.27,2.20024
15.28,2.20987
15.29,2.28755
15.3,2.27431
15.31,2.35198
15.32,2.34541
15.33,2.35695
15.34,2.37588
15.35,2.41665
15.36,2.35281
15.37,2.25719
15.38,2.30935
15.39,2.286
15.4,2.31416
15.41,2.26832
15.42,2.39929
15.43,2.30324
15.44,2.43214
15.45,2.42882
15.46,2.40961
15.47,2.38869
15.48,2.44034
15.49,2.37354
