"Time (ns)","RMSD (Å)"
15.07,2.20669
15.08,2.20437
15.09,2.26081
15.1,2.24239
15.11,2.24384
15.12,2.28853
15.13,2.31694
15.14,2.33838
15.15,2.3097
15.16,2.37956
15.17,2.3453
15.18,2.22751
15.19,2.33428
15.2,2.39788
15.21,2.41928
15.22,2.38518
15.23,2.43304
15.24,2.40553
15.25,2.49912
15.26,2.40548
15.27,2.39466
15.28,2.33626
15.29,2.34864
15.3,2.47469
15.31,2.49729
15.32,2.57225
15.33,2.60427
15.34,2.40076
15.35,2.3834
15.36,2.3625
15.37,2.38396
15.38,2.34573
15.39,2.46814
15.4,2.35079
15.41,2.42547
15.42,2.44833
15.43,2.35846
15.44,2.41622
15.45,2.35899
15.46,2.45108
15.47,2.43969
15.48,2.36205
